"Facility Name","Facility ID",State,"Measure Name","Number of Discharges",Footnote,"Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
"CRENSHAW COMMUNITY HOSPITAL",010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ST. VINCENT'S EAST",010011,AL,READM-30-AMI-HRRP,118,29,0.9697,11.4644,11.8232,12,07/01/2021,06/30/2024
"ST. VINCENT'S EAST",010011,AL,READM-30-CABG-HRRP,63,29,1.1213,12.5649,11.2054,11,07/01/2021,06/30/2024
"ST. VINCENT'S EAST",010011,AL,READM-30-HF-HRRP,268,29,1.0373,19.9060,19.1894,56,07/01/2021,06/30/2024
"ST. VINCENT'S EAST",010011,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ST. VINCENT'S EAST",010011,AL,READM-30-COPD-HRRP,57,29,0.9988,19.4501,19.4725,11,07/01/2021,06/30/2024
"ST. VINCENT'S EAST",010011,AL,READM-30-PN-HRRP,281,29,1.0102,16.1282,15.9654,46,07/01/2021,06/30/2024
"DEKALB REGIONAL MEDICAL CENTER",010012,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9322,4.0417,4.3357,"Too Few to Report",07/01/2021,06/30/2024
"DEKALB REGIONAL MEDICAL CENTER",010012,AL,READM-30-HF-HRRP,98,,1.0840,19.6001,18.0817,25,07/01/2021,06/30/2024
"DEKALB REGIONAL MEDICAL CENTER",010012,AL,READM-30-AMI-HRRP,N/A,,1.0565,11.4786,10.8650,"Too Few to Report",07/01/2021,06/30/2024
"DEKALB REGIONAL MEDICAL CENTER",010012,AL,READM-30-PN-HRRP,142,,1.0206,15.2530,14.9444,23,07/01/2021,06/30/2024
"DEKALB REGIONAL MEDICAL CENTER",010012,AL,READM-30-COPD-HRRP,N/A,,0.9934,13.8163,13.9081,"Too Few to Report",07/01/2021,06/30/2024
"DEKALB REGIONAL MEDICAL CENTER",010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"SHELBY BAPTIST MEDICAL CENTER",010016,AL,READM-30-PN-HRRP,216,,1.0292,16.7023,16.2284,38,07/01/2021,06/30/2024
"SHELBY BAPTIST MEDICAL CENTER",010016,AL,READM-30-CABG-HRRP,N/A,,1.0875,12.3307,11.3390,"Too Few to Report",07/01/2021,06/30/2024
"SHELBY BAPTIST MEDICAL CENTER",010016,AL,READM-30-COPD-HRRP,N/A,,0.9888,17.7859,17.9874,"Too Few to Report",07/01/2021,06/30/2024
"SHELBY BAPTIST MEDICAL CENTER",010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1004,6.2549,5.6843,"Too Few to Report",07/01/2021,06/30/2024
"SHELBY BAPTIST MEDICAL CENTER",010016,AL,READM-30-AMI-HRRP,N/A,,1.0270,14.8776,14.4868,"Too Few to Report",07/01/2021,06/30/2024
"SHELBY BAPTIST MEDICAL CENTER",010016,AL,READM-30-HF-HRRP,212,,1.0053,20.1019,19.9957,43,07/01/2021,06/30/2024
"CALLAHAN EYE HOSPITAL",010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CALLAHAN EYE HOSPITAL",010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CALLAHAN EYE HOSPITAL",010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CALLAHAN EYE HOSPITAL",010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CALLAHAN EYE HOSPITAL",010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CALLAHAN EYE HOSPITAL",010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HELEN KELLER HOSPITAL",010019,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.2168,5.4095,4.4458,"Too Few to Report",07/01/2021,06/30/2024
"HELEN KELLER HOSPITAL",010019,AL,READM-30-HF-HRRP,255,,0.9057,17.2859,19.0851,37,07/01/2021,06/30/2024
"HELEN KELLER HOSPITAL",010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HELEN KELLER HOSPITAL",010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"HELEN KELLER HOSPITAL",010019,AL,READM-30-COPD-HRRP,169,,1.0327,17.5470,16.9910,32,07/01/2021,06/30/2024
"HELEN KELLER HOSPITAL",010019,AL,READM-30-PN-HRRP,235,,1.0061,13.8755,13.7919,33,07/01/2021,06/30/2024
"DALE MEDICAL CENTER",010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"DALE MEDICAL CENTER",010021,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"DALE MEDICAL CENTER",010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"DALE MEDICAL CENTER",010021,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"DALE MEDICAL CENTER",010021,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"DALE MEDICAL CENTER",010021,AL,READM-30-PN-HRRP,N/A,,1.0020,13.9025,13.8749,"Too Few to Report",07/01/2021,06/30/2024
"FLOYD CHEROKEE MEDICAL CENTER",010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FLOYD CHEROKEE MEDICAL CENTER",010022,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FLOYD CHEROKEE MEDICAL CENTER",010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FLOYD CHEROKEE MEDICAL CENTER",010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FLOYD CHEROKEE MEDICAL CENTER",010022,AL,READM-30-PN-HRRP,N/A,,0.9738,12.7596,13.1025,"Too Few to Report",07/01/2021,06/30/2024
"FLOYD CHEROKEE MEDICAL CENTER",010022,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BAPTIST MEDICAL CENTER SOUTH",010023,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9546,5.4372,5.6955,"Too Few to Report",07/01/2021,06/30/2024
"BAPTIST MEDICAL CENTER SOUTH",010023,AL,READM-30-HF-HRRP,289,,1.0589,22.0595,20.8335,68,07/01/2021,06/30/2024
"BAPTIST MEDICAL CENTER SOUTH",010023,AL,READM-30-PN-HRRP,162,,1.0490,18.3401,17.4837,33,07/01/2021,06/30/2024
"BAPTIST MEDICAL CENTER SOUTH",010023,AL,READM-30-COPD-HRRP,64,,1.0436,19.9666,19.1329,16,07/01/2021,06/30/2024
"BAPTIST MEDICAL CENTER SOUTH",010023,AL,READM-30-CABG-HRRP,N/A,,1.0851,11.5980,10.6880,"Too Few to Report",07/01/2021,06/30/2024
"BAPTIST MEDICAL CENTER SOUTH",010023,AL,READM-30-AMI-HRRP,186,,1.0084,14.2828,14.1632,27,07/01/2021,06/30/2024
"JACKSON HOSPITAL & CLINIC INC",010024,AL,READM-30-PN-HRRP,260,,1.0066,15.9827,15.8774,42,07/01/2021,06/30/2024
"JACKSON HOSPITAL & CLINIC INC",010024,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"JACKSON HOSPITAL & CLINIC INC",010024,AL,READM-30-COPD-HRRP,87,,0.9583,16.1925,16.8969,11,07/01/2021,06/30/2024
"JACKSON HOSPITAL & CLINIC INC",010024,AL,READM-30-AMI-HRRP,141,,1.0203,14.8620,14.5665,22,07/01/2021,06/30/2024
"JACKSON HOSPITAL & CLINIC INC",010024,AL,READM-30-HF-HRRP,321,,1.0207,19.7846,19.3825,65,07/01/2021,06/30/2024
"JACKSON HOSPITAL & CLINIC INC",010024,AL,READM-30-CABG-HRRP,N/A,,0.9386,10.8206,11.5286,"Too Few to Report",07/01/2021,06/30/2024
"THE EAST ALABAMA HEALTHCARE AUTHORITY",010029,AL,READM-30-PN-HRRP,211,29,0.8875,13.1459,14.8118,20,07/01/2021,06/30/2024
"THE EAST ALABAMA HEALTHCARE AUTHORITY",010029,AL,READM-30-HF-HRRP,253,29,1.0273,18.6111,18.1163,49,07/01/2021,06/30/2024
"THE EAST ALABAMA HEALTHCARE AUTHORITY",010029,AL,READM-30-COPD-HRRP,N/A,29,0.9239,16.2846,17.6261,"Too Few to Report",07/01/2021,06/30/2024
"THE EAST ALABAMA HEALTHCARE AUTHORITY",010029,AL,READM-30-AMI-HRRP,91,29,1.0521,11.5674,10.9948,13,07/01/2021,06/30/2024
"THE EAST ALABAMA HEALTHCARE AUTHORITY",010029,AL,READM-30-CABG-HRRP,N/A,29,0.9704,9.9541,10.2577,"Too Few to Report",07/01/2021,06/30/2024
"THE EAST ALABAMA HEALTHCARE AUTHORITY",010029,AL,READM-30-HIP-KNEE-HRRP,401,29,0.9746,4.5620,4.6807,18,07/01/2021,06/30/2024
"UNIVERSITY OF ALABAMA HOSPITAL",010033,AL,READM-30-PN-HRRP,343,,1.0983,17.1081,15.5775,65,07/01/2021,06/30/2024
"UNIVERSITY OF ALABAMA HOSPITAL",010033,AL,READM-30-COPD-HRRP,169,,0.9689,19.1648,19.7800,30,07/01/2021,06/30/2024
"UNIVERSITY OF ALABAMA HOSPITAL",010033,AL,READM-30-CABG-HRRP,358,,1.2863,15.1420,11.7722,61,07/01/2021,06/30/2024
"UNIVERSITY OF ALABAMA HOSPITAL",010033,AL,READM-30-AMI-HRRP,295,,1.1901,17.2513,14.4954,60,07/01/2021,06/30/2024
"UNIVERSITY OF ALABAMA HOSPITAL",010033,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.3796,10.3580,7.5079,"Too Few to Report",07/01/2021,06/30/2024
"UNIVERSITY OF ALABAMA HOSPITAL",010033,AL,READM-30-HF-HRRP,638,,0.9861,19.7513,20.0293,125,07/01/2021,06/30/2024
"COMMUNITY HOSPITAL INC",010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"COMMUNITY HOSPITAL INC",010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"COMMUNITY HOSPITAL INC",010034,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"COMMUNITY HOSPITAL INC",010034,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"COMMUNITY HOSPITAL INC",010034,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"COMMUNITY HOSPITAL INC",010034,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CULLMAN REGIONAL MEDICAL CENTER",010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"CULLMAN REGIONAL MEDICAL CENTER",010035,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8913,4.1609,4.6683,"Too Few to Report",07/01/2021,06/30/2024
"CULLMAN REGIONAL MEDICAL CENTER",010035,AL,READM-30-HF-HRRP,352,,0.9659,17.4580,18.0752,59,07/01/2021,06/30/2024
"CULLMAN REGIONAL MEDICAL CENTER",010035,AL,READM-30-AMI-HRRP,N/A,,1.0488,12.9285,12.3267,"Too Few to Report",07/01/2021,06/30/2024
"CULLMAN REGIONAL MEDICAL CENTER",010035,AL,READM-30-PN-HRRP,441,,0.9922,14.1743,14.2851,62,07/01/2021,06/30/2024
"CULLMAN REGIONAL MEDICAL CENTER",010035,AL,READM-30-COPD-HRRP,137,,1.0725,17.5077,16.3246,29,07/01/2021,06/30/2024
"ANDALUSIA HEALTH",010036,AL,READM-30-PN-HRRP,138,,0.9462,14.2068,15.0146,16,07/01/2021,06/30/2024
"ANDALUSIA HEALTH",010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ANDALUSIA HEALTH",010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1547,6.3173,5.4708,"Too Few to Report",07/01/2021,06/30/2024
"ANDALUSIA HEALTH",010036,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"ANDALUSIA HEALTH",010036,AL,READM-30-HF-HRRP,133,,1.0426,21.7269,20.8389,32,07/01/2021,06/30/2024
"ANDALUSIA HEALTH",010036,AL,READM-30-COPD-HRRP,N/A,,0.9647,20.2024,20.9412,"Too Few to Report",07/01/2021,06/30/2024
"HUNTSVILLE HOSPITAL",010039,AL,READM-30-CABG-HRRP,273,,0.8637,8.6865,10.0572,20,07/01/2021,06/30/2024
"HUNTSVILLE HOSPITAL",010039,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0436,6.9377,6.6479,"Too Few to Report",07/01/2021,06/30/2024
"HUNTSVILLE HOSPITAL",010039,AL,READM-30-AMI-HRRP,567,,0.8965,10.6508,11.8801,55,07/01/2021,06/30/2024
"HUNTSVILLE HOSPITAL",010039,AL,READM-30-COPD-HRRP,394,,0.9689,16.8266,17.3667,64,07/01/2021,06/30/2024
"HUNTSVILLE HOSPITAL",010039,AL,READM-30-PN-HRRP,1334,,0.9224,14.0411,15.2222,182,07/01/2021,06/30/2024
"HUNTSVILLE HOSPITAL",010039,AL,READM-30-HF-HRRP,1218,,0.9970,19.8047,19.8653,241,07/01/2021,06/30/2024
"GADSDEN REGIONAL MEDICAL CENTER",010040,AL,READM-30-PN-HRRP,248,,1.0159,16.9093,16.6453,43,07/01/2021,06/30/2024
"GADSDEN REGIONAL MEDICAL CENTER",010040,AL,READM-30-AMI-HRRP,N/A,,0.9772,12.5369,12.8299,"Too Few to Report",07/01/2021,06/30/2024
"GADSDEN REGIONAL MEDICAL CENTER",010040,AL,READM-30-HF-HRRP,229,,0.9563,21.0997,22.0631,45,07/01/2021,06/30/2024
"GADSDEN REGIONAL MEDICAL CENTER",010040,AL,READM-30-CABG-HRRP,47,,1.1728,14.2767,12.1729,11,07/01/2021,06/30/2024
"GADSDEN REGIONAL MEDICAL CENTER",010040,AL,READM-30-COPD-HRRP,89,,0.9967,19.3825,19.4465,17,07/01/2021,06/30/2024
"GADSDEN REGIONAL MEDICAL CENTER",010040,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1146,5.9928,5.3767,"Too Few to Report",07/01/2021,06/30/2024
"MARION REGIONAL MEDICAL CENTER",010044,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"MARION REGIONAL MEDICAL CENTER",010044,AL,READM-30-HF-HRRP,N/A,,0.9450,17.0702,18.0636,"Too Few to Report",07/01/2021,06/30/2024
"MARION REGIONAL MEDICAL CENTER",010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"MARION REGIONAL MEDICAL CENTER",010044,AL,READM-30-PN-HRRP,N/A,,1.0028,14.4430,14.4034,"Too Few to Report",07/01/2021,06/30/2024
"MARION REGIONAL MEDICAL CENTER",010044,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"MARION REGIONAL MEDICAL CENTER",010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FAYETTE MEDICAL CENTER",010045,AL,READM-30-HF-HRRP,N/A,,1.0009,16.5419,16.5277,"Too Few to Report",07/01/2021,06/30/2024
"FAYETTE MEDICAL CENTER",010045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FAYETTE MEDICAL CENTER",010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FAYETTE MEDICAL CENTER",010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FAYETTE MEDICAL CENTER",010045,AL,READM-30-COPD-HRRP,N/A,,1.0117,16.1652,15.9787,"Too Few to Report",07/01/2021,06/30/2024
"FAYETTE MEDICAL CENTER",010045,AL,READM-30-PN-HRRP,N/A,,0.9973,14.3354,14.3738,"Too Few to Report",07/01/2021,06/30/2024
"RIVERVIEW REGIONAL MEDICAL CENTER",010046,AL,READM-30-HF-HRRP,275,,1.1060,23.0676,20.8569,71,07/01/2021,06/30/2024
"RIVERVIEW REGIONAL MEDICAL CENTER",010046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"RIVERVIEW REGIONAL MEDICAL CENTER",010046,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0344,5.7642,5.5724,"Too Few to Report",07/01/2021,06/30/2024
"RIVERVIEW REGIONAL MEDICAL CENTER",010046,AL,READM-30-AMI-HRRP,N/A,,1.0131,14.1243,13.9419,"Too Few to Report",07/01/2021,06/30/2024
"RIVERVIEW REGIONAL MEDICAL CENTER",010046,AL,READM-30-PN-HRRP,322,,1.1181,17.8297,15.9464,65,07/01/2021,06/30/2024
"RIVERVIEW REGIONAL MEDICAL CENTER",010046,AL,READM-30-COPD-HRRP,99,,1.0628,18.6955,17.5910,23,07/01/2021,06/30/2024
"MEDICAL CENTER ENTERPRISE",010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8186,3.6231,4.4262,"Too Few to Report",07/01/2021,06/30/2024
"MEDICAL CENTER ENTERPRISE",010049,AL,READM-30-HF-HRRP,105,,0.9516,16.6277,17.4740,14,07/01/2021,06/30/2024
"MEDICAL CENTER ENTERPRISE",010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"MEDICAL CENTER ENTERPRISE",010049,AL,READM-30-PN-HRRP,146,,0.9999,13.7023,13.7034,20,07/01/2021,06/30/2024
"MEDICAL CENTER ENTERPRISE",010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"MEDICAL CENTER ENTERPRISE",010049,AL,READM-30-COPD-HRRP,58,,1.0197,16.5552,16.2357,11,07/01/2021,06/30/2024
"GREENE COUNTY HOSPITAL",010051,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"GREENE COUNTY HOSPITAL",010051,AL,READM-30-PN-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"GREENE COUNTY HOSPITAL",010051,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"GREENE COUNTY HOSPITAL",010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"GREENE COUNTY HOSPITAL",010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"GREENE COUNTY HOSPITAL",010051,AL,READM-30-HF-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"LAKE MARTIN COMMUNITY HOSPITAL",010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"LAKE MARTIN COMMUNITY HOSPITAL",010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"LAKE MARTIN COMMUNITY HOSPITAL",010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"LAKE MARTIN COMMUNITY HOSPITAL",010052,AL,READM-30-PN-HRRP,N/A,,1.0169,15.3222,15.0674,"Too Few to Report",07/01/2021,06/30/2024
"LAKE MARTIN COMMUNITY HOSPITAL",010052,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"LAKE MARTIN COMMUNITY HOSPITAL",010052,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"FLOWERS HOSPITAL",010055,AL,READM-30-PN-HRRP,302,,1.0375,15.4196,14.8628,49,07/01/2021,06/30/2024
"FLOWERS HOSPITAL",010055,AL,READM-30-CABG-HRRP,106,,1.1266,12.1697,10.8020,16,07/01/2021,06/30/2024
"FLOWERS HOSPITAL",010055,AL,READM-30-HIP-KNEE-HRRP,182,,1.3851,6.2042,4.4792,15,07/01/2021,06/30/2024
"FLOWERS HOSPITAL",010055,AL,READM-30-COPD-HRRP,121,,0.9429,17.7033,18.7760,17,07/01/2021,06/30/2024
"FLOWERS HOSPITAL",010055,AL,READM-30-AMI-HRRP,264,,1.0830,12.5110,11.5523,37,07/01/2021,06/30/2024
"FLOWERS HOSPITAL",010055,AL,READM-30-HF-HRRP,322,,0.9660,18.4720,19.1221,57,07/01/2021,06/30/2024
"ST VINCENT'S BIRMINGHAM",010056,AL,READM-30-AMI-HRRP,122,29,1.0865,13.7718,12.6757,21,07/01/2021,06/30/2024
"ST VINCENT'S BIRMINGHAM",010056,AL,READM-30-PN-HRRP,393,29,1.0772,16.2944,15.1266,69,07/01/2021,06/30/2024
"ST VINCENT'S BIRMINGHAM",010056,AL,READM-30-CABG-HRRP,75,29,1.0823,11.8986,10.9940,11,07/01/2021,06/30/2024
"ST VINCENT'S BIRMINGHAM",010056,AL,READM-30-HIP-KNEE-HRRP,N/A,29,1.1136,6.4814,5.8200,"Too Few to Report",07/01/2021,06/30/2024
"ST VINCENT'S BIRMINGHAM",010056,AL,READM-30-COPD-HRRP,N/A,29,0.9927,16.7254,16.8485,"Too Few to Report",07/01/2021,06/30/2024
"ST VINCENT'S BIRMINGHAM",010056,AL,READM-30-HF-HRRP,360,29,0.9837,18.9407,19.2551,67,07/01/2021,06/30/2024
"BIBB MEDICAL CENTER",010058,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
"BIBB MEDICAL CENTER",010058,AL,READM-30-PN-HRRP,N/A,,0.9360,13.3177,14.2282,"Too Few to Report",07/01/2021,06/30/2024
